"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"","","","","","","","","Ben Parker","2016-12-12T12:29:36+00:00","https://opencorporates.com/users/23275","user","TNGC PH MANAGEMENT MEMBER CORP","us_de","4764798","https://opencorporates.com/companies/us_de/4764798","null"
"","","","","","","","","Ben Parker","2016-12-12T12:47:23+00:00","https://opencorporates.com/users/23275","user","T International Realty LLC","us_va","T0542854","https://opencorporates.com/companies/us_va/T0542854","False"
"","","","","","","","","Ben Parker","2016-12-12T13:02:48+00:00","https://opencorporates.com/users/23275","user","845 HOLDING COMPANY LLC","us_ny","2663891","https://opencorporates.com/companies/us_ny/2663891","True"
"","","","","","","","","Ben Parker","2016-12-12T13:03:26+00:00","https://opencorporates.com/users/23275","user","FIFTH AVENUE ACQUISITIONS LLC","us_ny","2295966","https://opencorporates.com/companies/us_ny/2295966","True"
"","","","","","","","","Ben Parker","2016-12-12T13:03:54+00:00","https://opencorporates.com/users/23275","user","HELMSLEY TRUMP MANAGEMENT SERVICES LLC","us_ny","2822592","https://opencorporates.com/companies/us_ny/2822592","True"
"","","","","","","","","Ben Parker","2016-12-12T13:04:21+00:00","https://opencorporates.com/users/23275","user","MONTE REALTY GROUP, LLC","us_ny","4523659","https://opencorporates.com/companies/us_ny/4523659","False"
"","","","","","","","","Ben Parker","2016-12-12T13:05:55+00:00","https://opencorporates.com/users/23275","user","TRUMP NATIONAL GOLF CLUB LLC","us_ny","2168883","https://opencorporates.com/companies/us_ny/2168883","False"
"","","","","","","","","Ben Parker","2016-12-12T13:09:35+00:00","https://opencorporates.com/users/23275","user","Trump Virginia Lot 5 LLC","us_va","T0470668","https://opencorporates.com/companies/us_va/T0470668","False"
"","","","","","","","","Ben Parker","2016-12-12T13:10:04+00:00","https://opencorporates.com/users/23275","user","Trump Virginia Lot 5 Manager Corp.","us_va","F1866252","https://opencorporates.com/companies/us_va/F1866252","False"
"","","","","","","","","Ben Parker","2016-12-12T13:12:07+00:00","https://opencorporates.com/users/23275","user","TRUMP OCEAN CLUB CASINO, INC.","us_nj","0100629751","https://opencorporates.com/companies/us_nj/0100629751","null"
"","","","","","","","","Ben Parker","2016-12-12T13:15:09+00:00","https://opencorporates.com/users/23275","user","TRUMP TAJ MAHAL FUNDING, INC.","us_nj","0100379006","https://opencorporates.com/companies/us_nj/0100379006","null"
"","","","","","","","","Ben Parker","2016-12-12T13:15:45+00:00","https://opencorporates.com/users/23275","user","TRUMP MORTGAGE, LLC","us_wa","602525577","https://opencorporates.com/companies/us_wa/602525577","True"
"","","","","","","","","Ben Parker","2016-12-12T13:16:40+00:00","https://opencorporates.com/users/23275","user","TRUMP MORTGAGE, LLC","us_ky","0625308","https://opencorporates.com/companies/us_ky/0625308","True"
"","","","","","","","","Ben Parker","2016-12-12T13:17:09+00:00","https://opencorporates.com/users/23275","user","TRUMP MORTGAGE, LLC","us_ga","0552247","https://opencorporates.com/companies/us_ga/0552247","True"
"","","","","","","","","Ben Parker","2016-12-12T13:17:37+00:00","https://opencorporates.com/users/23275","user","TRUMP MORTGAGE, LLC","us_vt","0014988","https://opencorporates.com/companies/us_vt/0014988","True"
"","","","","","","","","Ben Parker","2016-12-12T13:18:04+00:00","https://opencorporates.com/users/23275","user","TRUMP MORTGAGE, LLC","us_in","2005110900163","https://opencorporates.com/companies/us_in/2005110900163","True"
"","","","","","","","","Ben Parker","2016-12-12T16:42:16+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 1, INC.","us_nj","0100113192","https://opencorporates.com/companies/us_nj/0100113192","null"
"","","","","","","","","Ben Parker","2016-12-12T16:42:32+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 1, INC.","us_nj","0100113192","https://opencorporates.com/companies/us_nj/0100113192","null"
"","","","","","","","","Ben Parker","2016-12-12T16:47:12+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 3, INC.","us_nj","0100113188","https://opencorporates.com/companies/us_nj/0100113188","null"
"","","","","","","","","Ben Parker","2016-12-12T16:48:10+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 4, INC.","us_nj","0100116964","https://opencorporates.com/companies/us_nj/0100116964","null"
"","","","","","","","","Ben Parker","2016-12-12T16:49:43+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 5, INC.","us_nj","0100116519","https://opencorporates.com/companies/us_nj/0100116519","null"
"","","","","","","","","Ben Parker","2016-12-12T16:50:19+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE 4, INC.","us_nj","0100116520","https://opencorporates.com/companies/us_nj/0100116520","null"
"","","","","","","","","Ben Parker","2016-12-12T16:51:19+00:00","https://opencorporates.com/users/23275","user","ATLANTIC CITY SEASHORE, 2, INC.","us_nj","0100113190","https://opencorporates.com/companies/us_nj/0100113190","null"
"","","","","","","","","Ben Parker","2016-12-12T16:54:01+00:00","https://opencorporates.com/users/23275","user","BEACH HAVEN APARTMENTS NO. 4 INC.","us_ny","62473","https://opencorporates.com/companies/us_ny/62473","True"
